site,lat_zone,lon_zone,Notes
63001,North,L,
63101,North,L,
64304,North,F,
64602,North,M,
64610,North,F,
65102,North,F,
65104,North,M,
65106,North,F,
65701,North,L,
65901,North,F,
65904,North,L,Overlap with 65901. Should we use it?
66204,Central,F,
66213,Central,F,
66401,Central,M,Remove if we use 66442?
66407,Central,L,
66415,Central,L,
66417,Central,L,
66425,Central,L,
66435,Central,L,
66403,Central,M,Combine with 66442?
66442,Central,M,Combine with 66403?
66602,Central,L,
66612,Central,L,
67001,Central,BP,
67402,Central,BP,
67408,Central,BP,
67602,Central,BP,
67702,Central,BP,
67805,Central,L,
68001,Central,F,
68002,Central,L,
68322,Central,L,
68320,Central,L,
68526,Central,M,
68806,Central,F,
68810,Central,F,
68819,Central,F,
68822,Central,F,
69001,Central,L,
69101,Central,L,
69201,Central,L,
69202,Central,L,
69302,Central,M,
69505,South,F,
69602,South,L,
69614,South,F,
69618,South,F,
69635,South,F,
70105,South,F,
70303,South,F,
70902,South,F,
70908,South,L,
71106,South,F,
71116,South,M,
71117,South,M,
71130,South,M,
71136,South,M,
71156,South,F,
71178,South,F,
71195,South,L,
