site,depth
BT27/5020,Shallow
BV24/0023,Shallow
BV24/0024,Deep
BV24/0028,Shallow
BV24/0069,Shallow
BW22/0001,Shallow
BW22/0002,Deep
BW23/0133,Deep
BW23/0134,Deep
BW24/0037,Shallow
BW24/0038,Deep
BW24/0039,Deep
BW24/0210,Shallow
BW24/0260,Shallow
BW24/0274,Deep
BW24/0321,Deep
BX22/0003,Deep
BX22/0158,Deep
BX23/0044,Deep
BX23/0157,Deep
BX23/0623,Deep
BY19/0026,Shallow
BY19/0030,Shallow
BY21/0183,Shallow
BY21/0197,Shallow
BZ15/5017,Deep
BZ15/5018,Deep
BZ15/5019,Shallow
BZ16/0072,Shallow
BZ16/0073,Shallow
BZ18/0013,Shallow
BZ19/0148,Shallow
BZ20/0031,Shallow
BZ20/0033,Deep
CA15/5005,Shallow
CA15/5006,Shallow
CA15/5007,Shallow
CA15/5008,Shallow
CA15/5009,Shallow
H38/0004,Shallow
H38/0074,Shallow
H38/0229,Shallow
H38/0230,Shallow
H38/0261,Deep
H39/0048,Shallow
H39/0133,Shallow
H39/0139,Shallow
H39/0148,Deep
H39/0189,Shallow
H39/0190,Shallow
H39/0191,Shallow
H39/0192,Shallow
H39/0220,Shallow
I38/0014,Shallow
I38/0084,Shallow
I38/0085,Shallow
I38/0103,Deep
I38/0104,Shallow
I38/0105,Shallow
I39/0005,Deep
I39/0007,Shallow
J37/0008,Shallow
J37/0009,Shallow
J37/0013,Shallow
J37/0026,Shallow
J37/0031,Shallow
J37/0136,Deep
J37/0309,Deep
J38/0040,Deep
J38/0122,Shallow
J38/0123,Shallow
J38/0187,Shallow
J38/0403,Shallow
J38/0414,Shallow
J38/0465,Shallow
J38/0521,Deep
J38/0619,Shallow
J38/0647,Deep
J38/0657,Deep
J38/0685,Deep
J39/0006,Shallow
J39/0007,Deep
J39/0020,Deep
J39/0070,Shallow
J39/0079,Deep
J39/0091,Deep
J39/0150,Shallow
J39/0239,Shallow
J39/0255,Shallow
J39/0429,Deep
J39/0473,Deep
