site,time,perc
M35/2564,1894-04-30,100.0
M35/2564,1894-05-31,100.0
M35/2565,1894-05-31,91.41
M35/2564,1894-06-30,100.0
M35/2565,1894-06-30,89.06
M35/2564,1894-07-31,99.28
M35/2565,1894-07-31,89.23
M35/2564,1894-08-31,98.51
M35/2565,1894-08-31,85.71
M35/2564,1894-09-30,98.55
M35/2565,1894-09-30,89.23
M35/2564,1894-10-31,98.55
M35/2565,1894-10-31,87.3
M35/2564,1894-11-30,100.0
M35/2565,1894-11-30,95.31
M35/2564,1894-12-31,100.0
M35/2565,1894-12-31,95.31
M35/2564,1895-01-31,100.0
M35/2565,1895-01-31,95.31
M35/2564,1895-02-28,100.0
M35/2565,1895-02-28,95.31
M35/2564,1895-03-31,98.53
M35/2565,1895-03-31,92.31
M35/2564,1895-04-30,98.51
M35/2565,1895-04-30,92.06
M35/2564,1895-05-31,98.51
M35/2565,1895-05-31,87.5
M35/2564,1895-06-30,98.51
M35/2565,1895-06-30,85.94
M35/2564,1895-07-31,99.28
M35/2565,1895-07-31,73.85
M35/2564,1895-08-31,97.01
M35/2564,1895-09-30,95.65
M35/2564,1896-03-31,100.0
M35/2565,1896-03-31,95.38
M35/2564,1896-04-30,97.01
M35/2565,1896-04-30,95.24
M35/2564,1896-05-31,97.01
M35/2565,1896-05-31,91.41
M35/2564,1896-06-30,95.52
M35/2565,1896-06-30,87.5
M35/2564,1896-07-31,94.2
M35/2565,1896-07-31,86.15
M35/2564,1897-09-30,39.13
M35/2565,1897-09-30,58.46
M35/2564,1897-10-31,55.07
M35/2565,1897-10-31,69.84
M35/2564,1897-11-30,81.16
M35/2565,1897-11-30,78.12
M35/2564,1897-12-31,88.24
M35/2565,1897-12-31,76.56
M35/2564,1898-01-31,85.29
M35/2565,1898-01-31,73.44
M35/2564,1898-02-28,86.57
M35/2565,1898-02-28,89.06
M35/2564,1898-03-31,77.94
M35/2565,1898-03-31,75.38
M35/2564,1898-04-30,70.15
M35/2565,1898-04-30,73.81
M35/2564,1898-05-31,58.21
M35/2565,1898-05-31,54.69
M35/2564,1898-06-30,44.78
M35/2565,1898-06-30,59.38
M35/2564,1898-07-31,42.03
M35/2565,1898-07-31,36.92
M35/2564,1898-08-31,32.84
M35/2565,1898-08-31,53.97
M35/2564,1898-09-30,40.58
M35/2565,1898-09-30,32.31
M35/2564,1898-10-31,42.75
M35/2565,1898-10-31,49.21
M35/2564,1898-11-30,55.07
M35/2565,1898-11-30,56.25
M35/2564,1898-12-31,61.76
M35/2565,1898-12-31,70.31
M35/2564,1899-01-31,69.12
M35/2565,1899-01-31,67.19
M35/2564,1899-02-28,71.64
M35/2565,1899-02-28,78.12
M35/2564,1899-03-31,54.41
M35/2565,1899-03-31,67.69
M35/2564,1899-04-30,40.3
M35/2565,1899-04-30,66.67
