mtype,site,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
flow,63001,93.33,80.0,66.67,93.75,68.75,46.67,37.5
flow,63101,92.0,92.0,76.92,96.15,80.77,56.0,32.0
flow,64304,80.0,70.0,70.0,100.0,50.0,30.0,50.0
flow,64602,84.31,82.35,76.47,58.82,78.43,15.69,3.92
flow,65102,84.62,84.62,76.92,91.67,58.33,33.33,58.33
flow,65106,72.73,90.91,100.0,81.82,60.0,0.0,0.0
flow,65701,92.31,84.62,84.62,100.0,33.33,45.45,58.33
flow,65901,87.1,93.55,96.77,90.32,51.61,16.13,16.13
flow,66204,67.39,82.98,76.6,87.23,38.3,4.26,13.04
flow,66213,70.83,83.33,91.67,95.83,40.0,4.35,13.04
flow,66403,100.0,100.0,66.67,11.11,100.0,50.0,0.0
flow,66407,15.22,15.22,10.87,8.7,8.7,8.7,8.7
flow,66415,64.29,92.86,78.57,64.29,50.0,30.77,30.77
flow,66417,96.97,93.94,96.88,90.62,59.38,45.16,32.26
flow,66425,88.0,50.0,80.77,88.46,76.92,53.85,65.38
flow,66435,80.95,83.33,83.33,78.57,59.09,42.86,54.76
flow,66442,100.0,100.0,66.67,33.33,100.0,33.33,0.0
flow,66602,100.0,96.97,97.06,97.06,91.43,75.76,64.71
flow,66612,85.71,92.86,92.86,100.0,78.57,50.0,81.48
flow,67001,100.0,85.71,95.24,90.48,71.43,55.0,70.0
flow,67402,87.5,75.0,68.75,86.67,50.0,13.33,60.0
flow,67408,96.55,82.76,72.41,82.76,65.52,25.0,28.57
flow,67702,93.75,81.25,84.38,87.88,45.45,24.24,63.64
flow,67805,90.91,95.65,95.65,95.65,82.61,63.64,77.27
flow,68002,88.57,88.57,94.29,85.71,68.57,54.29,40.0
flow,68320,93.75,96.88,100.0,96.88,84.38,74.19,77.42
flow,68322,72.73,72.73,90.91,91.67,75.0,75.0,63.64
flow,68806,82.35,71.15,92.31,63.46,61.54,25.49,13.73
flow,68810,77.78,88.89,86.11,52.78,67.57,21.62,10.81
flow,68819,92.86,85.71,64.29,57.14,53.85,15.38,30.77
flow,68822,71.43,85.71,57.14,71.43,14.29,15.38,50.0
flow,69001,100.0,100.0,100.0,100.0,93.33,73.33,73.33
flow,69101,83.33,66.67,91.67,83.33,41.67,8.33,27.27
flow,69201,93.33,86.67,93.33,71.43,42.86,28.57,35.71
flow,69202,73.33,80.0,86.67,85.71,71.43,78.57,85.71
flow,69302,70.59,76.47,78.43,27.45,60.78,47.06,11.76
flow,69505,83.33,83.33,75.0,69.44,41.67,5.71,8.33
flow,69602,81.48,70.37,88.46,80.0,48.15,11.11,14.29
flow,69614,88.37,83.72,95.45,70.45,40.91,4.55,4.65
flow,69618,85.19,77.78,83.33,61.82,40.0,9.09,7.27
flow,69635,75.68,70.27,81.08,78.38,37.84,10.81,29.73
flow,70105,63.89,58.33,61.11,80.56,32.43,8.33,14.29
flow,70303,88.24,77.78,50.0,72.22,44.44,16.67,52.94
flow,70902,86.11,75.0,83.33,80.56,38.89,14.29,44.44
flow,70908,94.74,94.74,94.74,75.0,73.68,26.32,36.84
flow,71106,75.51,85.71,67.35,66.67,46.81,18.37,14.58
flow,71117,90.0,85.0,85.0,40.0,60.0,26.32,36.84
flow,71130,93.33,86.67,86.67,87.5,75.0,43.75,37.5
flow,71136,80.95,85.71,90.48,71.43,86.36,36.36,18.18
flow,71156,78.57,71.43,100.0,86.67,60.0,20.0,23.08
flow,71178,76.47,75.0,53.33,53.33,26.67,6.25,6.25
flow,71195,23.53,23.53,72.22,66.67,55.56,33.33,11.11
precip,217810,0.0,70.0,60.0,10.0,100.0,42.86,25.0
precip,218810,0.0,89.47,47.37,5.13,92.5,17.5,15.38
precip,219510,0.0,87.1,57.81,4.84,95.31,23.44,15.62
precip,219910,0.0,85.71,61.82,15.45,94.64,12.5,12.96
precip,222610,0.0,64.71,74.29,14.71,90.91,18.18,15.15
precip,226510,0.0,93.1,89.66,31.03,96.55,36.67,27.59
precip,227810,3.33,90.0,96.77,86.67,48.33,23.33,20.0
precip,231910,0.0,87.88,93.55,93.94,10.94,65.62,12.5
precip,232710,0.0,81.82,76.47,100.0,16.67,55.56,33.33
precip,233510,0.0,37.5,66.67,100.0,16.67,54.17,41.67
precip,233610,0.0,69.79,61.22,97.96,4.17,41.67,8.16
precip,234511,0.0,67.5,80.0,97.56,2.5,46.15,10.98
precip,237101,0.0,83.33,83.33,75.0,16.67,30.77,26.92
precip,239101,0.0,88.89,77.78,85.19,9.26,46.3,44.44
precip,304610,2.86,91.43,57.14,20.59,90.62,33.33,25.0
precip,306610,0.0,85.71,32.14,10.71,75.86,21.43,41.38
precip,307001,0.0,79.31,48.28,34.48,93.1,17.24,31.03
precip,309810,0.0,83.87,45.16,19.35,48.39,6.45,26.67
precip,310510,0.0,90.0,63.33,10.0,93.1,30.0,17.86
precip,311810,0.0,87.88,67.65,10.61,97.06,23.53,18.18
precip,311910,0.0,92.59,70.37,37.93,67.24,13.79,28.57
precip,313710,0.0,80.39,34.0,41.35,22.22,7.69,34.62
precip,314411,0.0,78.95,36.84,21.05,84.21,15.79,42.11
precip,314412,0.0,87.5,37.5,20.83,83.33,29.17,33.33
precip,314701,0.0,78.69,35.0,35.25,14.75,10.0,36.67
precip,315010,0.0,94.74,26.32,26.32,84.21,15.79,36.84
precip,315510,0.0,74.19,22.58,82.76,61.29,38.71,32.26
precip,315910,0.0,86.67,29.03,41.94,19.35,10.0,43.33
precip,316310,0.0,87.1,25.81,19.35,35.48,19.35,51.61
precip,317210,0.0,88.89,18.52,50.0,28.57,7.14,11.11
precip,319211,0.0,88.46,53.85,65.38,23.08,23.08,30.77
precip,320010,0.0,77.59,62.07,18.97,78.95,3.51,9.09
precip,321212,0.0,96.67,66.67,64.52,70.97,3.33,13.33
precip,321310,0.0,92.86,79.07,60.47,45.24,4.88,30.0
precip,321610,0.0,93.55,32.26,67.74,6.45,12.9,10.0
precip,321710,0.0,89.29,53.57,24.14,86.21,10.71,7.14
precip,322110,0.0,85.71,30.95,32.56,46.51,2.33,33.33
precip,322211,0.0,90.32,29.03,74.19,16.13,0.0,0.0
