mtype,site,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01
flow,63001,46.67,37.5,6.25,13.33,93.33,100.0
flow,63101,56.0,32.0,26.92,11.54,96.15,96.0
flow,64304,30.0,50.0,20.0,90.0,100.0,90.91
flow,64602,15.69,3.92,1.92,29.41,43.14,19.61
flow,64610,24.0,50.0,20.0,75.51,95.92,90.0
flow,65102,15.38,46.15,7.69,71.43,100.0,64.29
flow,65104,35.48,4.92,1.61,53.23,58.73,24.19
flow,65106,0.0,9.09,9.09,60.0,100.0,90.91
flow,65701,66.67,53.85,38.46,100.0,100.0,92.86
flow,65901,16.13,19.35,6.45,93.55,96.77,83.87
flow,66204,6.38,14.89,0.0,93.62,95.65,69.57
flow,66213,4.35,13.04,4.35,95.65,100.0,82.61
flow,66403,50.0,0.0,0.0,0.0,0.0,0.0
flow,66407,10.42,10.42,4.17,15.22,71.74,84.78
flow,66415,28.57,35.71,35.71,71.43,53.85,92.31
flow,66417,46.88,31.25,30.3,94.12,100.0,93.94
flow,66425,57.69,73.08,20.0,50.0,96.15,96.15
flow,66435,42.86,54.76,83.33,90.48,97.62,97.5
flow,66442,66.67,33.33,0.0,33.33,33.33,66.67
flow,66602,76.47,64.71,50.0,55.88,61.76,91.18
flow,66612,53.57,82.14,64.29,71.43,85.71,88.89
flow,67001,57.14,71.43,71.43,90.0,100.0,95.0
flow,67402,18.75,50.0,18.75,100.0,100.0,93.75
flow,67408,24.14,65.52,58.62,100.0,100.0,86.21
flow,67602,20.0,68.97,33.33,96.55,100.0,86.67
flow,67702,24.24,63.64,50.0,100.0,100.0,84.85
flow,67805,60.87,73.91,60.87,90.91,86.96,82.61
flow,68001,7.41,22.22,5.56,100.0,100.0,83.33
flow,68002,54.29,40.0,45.71,100.0,100.0,85.71
flow,68320,74.19,77.42,50.0,100.0,100.0,74.19
flow,68322,75.0,66.67,50.0,83.33,100.0,75.0
flow,68526,15.0,13.16,0.0,55.26,17.95,38.46
flow,68806,25.0,13.46,5.77,92.31,78.85,45.1
flow,68810,21.62,13.51,8.33,91.67,94.44,47.22
flow,68819,15.38,30.77,23.08,100.0,100.0,50.0
flow,68822,15.38,57.14,21.43,100.0,100.0,92.86
flow,69001,73.33,73.33,40.0,100.0,100.0,86.67
flow,69101,8.33,27.27,9.09,100.0,91.67,91.67
flow,69201,33.33,46.67,40.0,60.0,85.71,93.33
flow,69202,78.57,85.71,92.86,100.0,78.57,80.0
flow,69302,47.06,11.76,1.96,71.15,36.54,28.85
flow,69505,8.33,10.81,10.81,100.0,100.0,69.44
flow,69602,11.11,17.86,10.71,96.43,96.43,77.78
flow,69614,4.55,4.65,9.3,100.0,93.02,62.79
flow,69618,7.27,7.27,5.45,100.0,98.18,56.36
flow,69635,10.81,29.73,18.92,97.3,94.59,67.57
flow,70105,10.81,22.22,25.71,100.0,100.0,80.56
flow,70303,16.67,55.56,38.89,100.0,100.0,88.24
flow,70902,14.29,44.44,36.11,97.3,91.89,80.56
flow,70908,26.32,36.84,36.84,100.0,100.0,89.47
flow,71106,20.41,16.33,20.41,100.0,95.92,79.17
flow,71116,47.17,33.33,29.63,72.22,51.85,44.44
flow,71117,30.0,40.0,15.0,90.0,90.0,40.0
flow,71130,43.75,37.5,43.75,100.0,100.0,93.33
flow,71136,36.36,18.18,36.36,100.0,100.0,50.0
flow,71156,20.0,23.08,15.38,100.0,92.31,100.0
flow,71178,6.25,6.25,31.25,94.12,100.0,94.44
flow,71195,33.33,11.11,35.29,29.41,5.88,58.82
precip,217810,42.86,25.0,10.71,81.48,20.69,51.72
precip,219510,23.44,15.62,9.38,82.81,40.62,57.81
precip,219910,12.5,14.55,7.27,80.7,81.82,35.71
precip,222610,18.18,15.15,5.88,60.61,52.94,8.82
precip,226510,36.67,27.59,0.0,75.86,44.83,10.34
precip,227810,23.33,20.0,27.59,93.1,93.1,23.33
precip,231910,65.62,12.5,36.36,100.0,96.97,65.62
precip,232710,55.56,33.33,80.56,100.0,97.3,20.0
precip,233510,54.17,41.67,62.5,100.0,95.83,8.7
precip,233610,41.67,8.16,75.51,97.92,97.92,40.82
precip,234511,46.15,10.98,53.66,97.5,97.5,67.5
precip,237101,30.77,26.92,50.0,100.0,75.0,25.0
precip,239101,46.3,44.44,57.69,96.15,92.31,26.92
precip,304610,33.33,25.0,9.38,84.38,21.88,63.64
precip,306610,21.43,41.38,46.43,92.86,39.29,25.0
precip,307001,17.24,31.03,17.24,86.67,6.9,62.07
precip,309810,6.45,29.03,74.19,100.0,83.33,23.33
precip,310510,30.0,17.24,6.67,76.67,17.24,68.97
precip,311810,23.53,20.59,14.71,90.91,60.61,18.18
precip,311910,13.79,29.31,55.17,93.1,85.71,32.14
precip,313710,9.43,35.85,76.92,98.15,94.44,10.91
precip,314411,15.79,42.11,55.56,94.44,68.42,26.32
precip,314412,29.17,33.33,43.48,95.83,75.0,37.5
precip,314701,11.48,37.7,78.69,98.36,83.33,18.03
precip,315010,15.79,36.84,55.56,94.44,84.21,15.79
precip,315510,38.71,32.26,87.1,96.67,93.33,10.0
precip,315910,12.9,45.16,77.42,100.0,90.0,13.33
precip,316310,19.35,51.61,73.33,93.33,86.67,20.0
precip,317210,7.14,14.29,85.71,100.0,96.43,22.22
precip,319211,23.08,30.77,69.23,100.0,96.3,15.38
precip,320010,3.51,10.71,8.93,68.97,61.4,10.71
precip,321212,6.45,16.13,67.74,100.0,80.0,16.67
precip,321310,7.14,31.71,71.43,97.5,75.61,21.43
precip,321610,12.9,12.9,64.52,96.67,93.33,20.0
precip,321710,13.79,8.62,10.34,79.31,89.29,21.43
precip,322110,2.33,34.88,65.12,86.05,73.81,30.95
precip,322211,3.23,3.12,75.0,96.88,90.32,19.35
precip,322410,16.67,40.0,80.0,83.33,83.33,30.0
precip,322411,10.0,30.0,70.0,100.0,100.0,15.0
precip,323610,15.0,35.0,35.0,95.0,85.0,15.0
precip,324611,14.71,42.03,38.41,91.04,88.24,20.59
precip,326112,20.69,65.52,82.76,100.0,82.14,25.0
precip,326512,13.04,73.91,39.13,100.0,63.64,72.73
precip,326611,37.93,71.43,58.62,100.0,82.14,78.57
precip,328711,20.69,58.62,51.72,96.55,35.71,57.14
precip,400710,16.13,38.71,70.97,100.0,50.0,23.33
precip,400910,55.36,46.43,60.71,100.0,51.85,14.81
precip,401610,36.84,78.95,57.89,100.0,50.0,33.33
precip,403601,36.36,57.58,72.73,100.0,57.58,48.48
precip,403711,39.0,33.33,62.26,100.0,71.7,0.0
